# State    State      phi     phi_mut   phi_mut-phi    delta_phi
   0    1       0.0003   2.6549e-04   0.0000e+00   0.0000e+00
   0    2       0.0050   5.2228e-03   4.0908e-02   4.0101e-02
   1    0       0.0001   1.1904e-04   0.0000e+00   0.0000e+00
   1    2       0.0037   3.8893e-03   4.0908e-02   4.0101e-02
   1    3       0.0001   8.1634e-05   0.0000e+00   0.0000e+00
   2    0       0.0017   1.6796e-03  -3.9300e-02  -4.0101e-02
   2    1       0.0029   2.7897e-03  -3.9300e-02  -4.0101e-02
   2    3       0.0002   1.9757e-04  -3.9300e-02  -4.0101e-02
   3    1       0.0004   4.3143e-04   0.0000e+00   0.0000e+00
   3    2       0.0014   1.4557e-03   4.0908e-02   4.0101e-02
