# State    State      phi     phi_mut   phi_mut-phi    delta_phi
   0    1       0.0003   2.6549e-04   0.0000e+00   0.0000e+00
   0    2       0.0050   6.1312e-03   2.2197e-01   2.0051e-01
   1    0       0.0001   1.1904e-04   0.0000e+00   0.0000e+00
   1    2       0.0037   4.5658e-03   2.2197e-01   2.0051e-01
   1    3       0.0001   8.1634e-05   0.0000e+00   0.0000e+00
   2    0       0.0017   1.4308e-03  -1.8165e-01  -2.0051e-01
   2    1       0.0029   2.3764e-03  -1.8165e-01  -2.0051e-01
   2    3       0.0002   1.6830e-04  -1.8165e-01  -2.0051e-01
   3    1       0.0004   4.3143e-04   0.0000e+00   0.0000e+00
   3    2       0.0014   1.7089e-03   2.2197e-01   2.0051e-01
